id	Protein.IDs	Majority.protein.IDs	Ratio.H.L.normalized.SNA vs Sham_Rep1	Ratio.H.L.variability.....SNA vs Sham_Rep1	Ratio.H.L.normalized.SNA vs Sham_Rep2	Ratio.H.L.variability.....SNA vs Sham_Rep2	Ratio.H.L.normalized.SNA vs Sham_Rep3	Ratio.H.L.variability.....SNA vs Sham_Rep3	Ratio.H.L.normalized.DCA vs Lam_Rep1	Ratio.H.L.variability.....DCA vs Lam_Rep1	Ratio.H.L.normalized.DCA vs Lam_Rep2	Ratio.H.L.variability.....DCA vs Lam_Rep2	Ratio.H.L.normalized.DCA vs Lam_Rep3	Ratio.H.L.normalized.Central vs Peripheral_Rep1	Ratio.H.L.variability.....Central vs Peripheral_Rep1	Ratio.H.L.normalized.Central vs Peripheral_Rep2	Ratio.H.L.variability.....Central vs Peripheral_Rep2	Ratio.H.L.normalized.Central vs Peripheral_Rep3	Ratio.H.L.variability.....Central vs Peripheral_Rep3	Intensity.L.SNA vs Sham_Rep1	Intensity.H.SNA vs Sham_Rep1	Intensity.L.SNA vs Sham_Rep2	Intensity.H.SNA vs Sham_Rep2	Intensity.L.SNA vs Sham_Rep3	Intensity.H.SNA vs Sham_Rep3	Intensity.L.DCA vs Lam_Rep1	Intensity.H.DCA vs Lam_Rep1	Intensity.L.DCA vs Lam_Rep2	Intensity.H.DCA vs Lam_Rep2	Intensity.L.DCA vs Lam_Rep3	Intensity.H.DCA vs Lam_Rep3	Intensity.L.Central vs Peripheral_Rep1	Intensity.H.Central vs Peripheral_Rep1	Intensity.L.Central vs Peripheral_Rep2	Intensity.H.Central vs Peripheral_Rep2	Intensity.L.Central vs Peripheral_Rep3	Intensity.H.Central vs Peripheral_Rep3	Description	external_gene_names	label	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep1	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep2	Log2.Ratio.H.L.normalized.SNA vs Sham_Rep3	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep1	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep2	Log2.Ratio.H.L.normalized.DCA vs Lam_Rep3	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep1	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep2	Log2.Ratio.H.L.normalized.Central vs Peripheral_Rep3
74	ENSMUSP00000000304;ENSMUSP00000124106	ENSMUSP00000000304	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.57815	46.653	NA	NA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12708000	5348900	4576400	2723500	HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942];HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942]	Hddc2;Hddc2	Hddc2	NA	NA	NA	NA	NA	NA	NA	-0.790484249	NA
76	ENSMUSP00000132112;ENSMUSP00000000312	ENSMUSP00000132112;ENSMUSP00000000312	0.99474	22.18	1.7839	23.692	1.6794	16.77	1.0865	45.683	1.0368	26.05	1.1499	3.75	56.911	2.8595	87.079	2.8889	71.976	1807600000	2045400000	764990000	2653300000	1707500000	2592300000	867270000	725030000	1815500000	2761700000	3239200000	2412400000	700030000	1707200000	1636700000	2900900000	1360300000	2543300000	cadherin 1 [Source:MGI Symbol;Acc:MGI:88354];cadherin 1 [Source:MGI Symbol;Acc:MGI:88354]	Cdh1;Cdh1	Cdh1	-0.007608604	0.835034744	0.747945893	0.119688175	0.052137623	0.201508404	1.906890596	1.515762906	1.530520266
77	ENSMUSP00000077349;ENSMUSP00000000317;ENSMUSP00000120507;ENSMUSP00000115501;ENSMUSP00000121930;ENSMUSP00000123130	ENSMUSP00000077349;ENSMUSP00000000317;ENSMUSP00000120507	NA	NA	1.5001	4.9268	NA	NA	1.2395	15.482	1.0802	12.894	1.2028	5.2331	1.5247	9.0283	6.6712	NA	NA	0	0	40340000	105450000	0	0	75843000	74894000	148170000	234960000	131610000	97992000	41406000	137540000	43192000	225720000	4350300	53003000	"creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441];creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441];creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441];creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441];creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441];creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]"	Ckmt1;Ckmt1;Ckmt1;Ckmt1;Ckmt1;Ckmt1	Ckmt1	NA	0.585058677	NA	0.309758271	0.111298453	0.266396773	2.387665828	3.174454358	NA
79	ENSMUSP00000141683;ENSMUSP00000139196;ENSMUSP00000138930;ENSMUSP00000130077;ENSMUSP00000111272;ENSMUSP00000000335;ENSMUSP00000141682;ENSMUSP00000121810	ENSMUSP00000141683;ENSMUSP00000139196;ENSMUSP00000138930;ENSMUSP00000130077;ENSMUSP00000111272;ENSMUSP00000000335	0.71227	73.346	0.62706	37.787	0.7082	18.572	NA	NA	0.66565	96.69	0.80663	0.24887	19.385	0.78819	130.19	0.55638	18.257	432010000	188630000	188570000	214780000	307300000	191460000	2015800	2540100	32304000	20914000	54946000	23138000	40145000	7623900	389660000	270790000	437010000	159010000	catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470];catechol-O-methyltransferase [Source:MGI Symbol;Acc:MGI:88470]	Comt;Comt;Comt;Comt;Comt;Comt;Comt;Comt	Comt	-0.489503868	-0.673324602	-0.497771251	NA	-0.58716429	-0.310021032	-2.006535764	-0.343384649	-0.845857534
80	ENSMUSP00000000348;ENSMUSP00000119463;ENSMUSP00000121357;ENSMUSP00000117610	ENSMUSP00000000348;ENSMUSP00000119463	0.64551	138.9	0.81373	14.058	0.77604	8.1241	0.75068	76.901	0.6457	64.912	1.0005	0.74818	21.372	0.89089	128.3	0.86572	14.366	691140000	687740000	129920000	199860000	575320000	346850000	79098000	59668000	238650000	332010000	347780000	239760000	324800000	141370000	601580000	343720000	249700000	161750000	RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618];RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618];RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618];RNA 3'-terminal phosphate cyclase [Source:MGI Symbol;Acc:MGI:1913618]	Rtca;Rtca;Rtca;Rtca	Rtca	-0.631488649	-0.297377915	-0.365797079	-0.413730048	-0.631064068	0.000721167	-0.418542694	-0.166680785	-0.208027606
81	ENSMUSP00000000349	ENSMUSP00000000349	0.47275	47.703	NA	NA	NA	NA	1.6013	16.71	1.4225	10.676	1.1388	NA	NA	2.1399	324.69	25.87	216.9	27300000	13238000	2254200	15837000	0	0	45939000	63636000	93119000	199090000	126190000	98964000	0	0	72672000	79460000	7090200	62980000	dihydrolipoamide branched chain transacylase E2 [Source:MGI Symbol;Acc:MGI:105386]	Dbt	Dbt	-1.080850637	NA	NA	0.679243619	0.508428653	0.187514398	NA	1.097543379	4.693208149
82	ENSMUSP00000000365;ENSMUSP00000100534	ENSMUSP00000000365	0.90306	11.854	1.0729	45.694	1.165	19.316	1.0866	32.27	1.1018	21.753	1.1388	1.3928	13.969	1.7406	20.162	1.8034	25.026	377440000	453790000	143050000	402010000	341580000	433990000	173510000	141570000	166720000	247250000	329340000	251480000	174070000	176680000	215760000	262770000	227580000	346960000	malignant T cell amplified sequence 1 [Source:MGI Symbol;Acc:MGI:1916245];malignant T cell amplified sequence 2 [Source:MGI Symbol;Acc:MGI:1913655]	Mcts1;Mcts2	Mcts1	-0.14710625	0.101515615	0.220329955	0.119820952	0.139862368	0.187514398	0.477988108	0.799584701	0.850719427
84	ENSMUSP00000000402;ENSMUSP00000134386;ENSMUSP00000099793;ENSMUSP00000133792;ENSMUSP00000134305;ENSMUSP00000136668	ENSMUSP00000000402;ENSMUSP00000134386;ENSMUSP00000099793;ENSMUSP00000133792	0.99858	34.353	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	135580000	188330000	35807000	145480000	0	0	0	0	0	0	0	0	0	0	8638600	1599300	22353000	1955900	"fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608];fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608];fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608];fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608];fibroblast activation protein [Source:MGI Symbol;Acc:MGI:109608];predicted gene, 17365 [Source:MGI Symbol;Acc:MGI:4936999]"	Fap;Fap;Fap;Fap;Fap;Gm17365	Fap	-0.002050083	NA	NA	NA	NA	NA	NA	NA	NA
86	ENSMUSP00000108326;ENSMUSP00000000514	ENSMUSP00000108326;ENSMUSP00000000514	1.2415	14.602	1.4597	13.484	0.62886	36.469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	47598000	56490000	6878000	17573000	51606000	38295000	0	0	0	0	0	0	0	0	8942600	1685900	0	0	"serine (or cysteine) peptidase inhibitor, clade B, member 8 [Source:MGI Symbol;Acc:MGI:894657];serine (or cysteine) peptidase inhibitor, clade B, member 8 [Source:MGI Symbol;Acc:MGI:894657]"	Serpinb8;Serpinb8	Serpinb8	0.312084262	0.545671894	-0.669189222	NA	NA	NA	NA	NA	NA
87	ENSMUSP00000128249;ENSMUSP00000000590;ENSMUSP00000055303	ENSMUSP00000128249;ENSMUSP00000000590;ENSMUSP00000055303	1.067	27.286	1.3023	14.395	1.2652	31.904	2.1079	91.989	1.2266	58.926	1.9105	1.3818	16.891	1.662	18.801	1.7339	27.549	5618300000	6.10E+09	2907300000	8112100000	6243200000	7793200000	900200000	996500000	2.68E+09	5095400000	6025800000	4.13E+09	871080000	780430000	6730600000	8941400000	6151500000	7321500000	radixin [Source:MGI Symbol;Acc:MGI:97887];radixin [Source:MGI Symbol;Acc:MGI:97887];radixin [Source:MGI Symbol;Acc:MGI:97887]	Rdx;Rdx;Rdx	Rdx	0.093560176	0.381061828	0.339365461	1.075806426	0.294664856	0.933950258	0.466548817	0.732920382	0.794020696
88	ENSMUSP00000000608	ENSMUSP00000000608	2.3233	3.2137	NA	NA	NA	NA	0.85296	8.916	0.7643	9.0148	1.1507	NA	NA	NA	NA	NA	NA	29654000	89806000	6734700	53389000	24179000	45416000	77015000	50532000	45637000	39426000	36753000	35899000	0	0	21698000	16888000	20490000	31859000	GM2 ganglioside activator protein [Source:MGI Symbol;Acc:MGI:95762]	Gm2a	Gm2a	1.216175457	NA	NA	-0.229450008	-0.387789065	0.202511756	NA	NA	NA
89	ENSMUSP00000125986;ENSMUSP00000000642	ENSMUSP00000125986;ENSMUSP00000000642	NA	NA	0.013152	278.41	NA	NA	NA	NA	0.036622	170.72	NA	NA	NA	NA	NA	NA	NA	0	0	760420000	25491000	0	0	0	0	328900000	44534000	176190000	935820	160050000	0	221400000	4749000	269190000	4739600	hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197];hexokinase 2 [Source:MGI Symbol;Acc:MGI:1315197]	Hk2;Hk2	Hk2	NA	-6.248573986	NA	NA	-4.771145608	NA	NA	NA	NA
90	ENSMUSP00000099546;ENSMUSP00000090563;ENSMUSP00000000645;ENSMUSP00000132149;ENSMUSP00000104012;ENSMUSP00000119839;ENSMUSP00000130696;ENSMUSP00000104013;ENSMUSP00000098358;ENSMUSP00000090560;ENSMUSP00000129098;ENSMUSP00000119574;ENSMUSP00000131771;ENSMUSP00000128487	ENSMUSP00000099546;ENSMUSP00000090563;ENSMUSP00000000645;ENSMUSP00000132149;ENSMUSP00000104012;ENSMUSP00000119839;ENSMUSP00000130696;ENSMUSP00000104013;ENSMUSP00000098358;ENSMUSP00000090560;ENSMUSP00000129098;ENSMUSP00000119574;ENSMUSP00000131771;ENSMUSP00000128487	0.5724	17.693	0.55649	29.23	0.85496	13.654	NA	NA	1.0286	15.897	1.0784	0.71076	25.844	1.0668	18.94	0.81041	42.599	1047800000	743040000	487050000	471070000	486690000	440350000	1391500	2068200	45507000	61276000	150380000	128740000	67607000	40381000	256140000	312580000	260430000	173020000	myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185];myosin XVIIIA [Source:MGI Symbol;Acc:MGI:2667185]	Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a;Myo18a	Myo18a	-0.804904423	-0.845572332	-0.226071171	NA	0.040682059	0.108892402	-0.492565603	0.09328973	-0.303276119
92	ENSMUSP00000000707;ENSMUSP00000098815	ENSMUSP00000000707;ENSMUSP00000098815	1.1605	27.794	1.7291	27.168	NA	NA	NA	NA	0.78936	83.44	1.2124	NA	NA	NA	NA	1.0921	15.319	18695000	20966000	131330000	151050000	5603900	8363400	0	0	87045000	42794000	165680000	30712000	0	0	8448800	6722100	42396000	3.40E+07	lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004];lysyl oxidase-like 3 [Source:MGI Symbol;Acc:MGI:1337004]	Loxl3;Loxl3	Loxl3	0.214746523	0.790021308	NA	NA	-0.341244681	0.277865757	NA	NA	0.127104965
93	ENSMUSP00000000727	ENSMUSP00000000727	1.0479	8.822	1.0115	16.267	1.1647	16.779	0.79165	28.353	0.8322	10.481	0.96921	NA	NA	2.139	191.24	0.45824	207.83	254560000	377140000	134580000	338620000	147190000	227740000	77251000	45388000	63054000	90675000	92041000	73220000	26004000	25339000	195760000	105910000	201450000	140570000	"RAB5B, member RAS oncogene family [Source:MGI Symbol;Acc:MGI:105938]"	Rab5b	Rab5b	0.067501049	0.01649632	0.219958398	-0.33706536	-0.264997807	-0.045118805	NA	1.096936483	-1.125824697
94	ENSMUSP00000000756;ENSMUSP00000078877	ENSMUSP00000000756;ENSMUSP00000078877	0.90701	68.441	0.87773	98.351	0.75699	16.083	0.79016	13.475	0.92373	26.564	1.458	1.6139	16.045	0.95092	67.707	0.59576	96.555	230160000	246340000	30543000	30587000	29579000	33201000	52500000	36400000	110140000	139150000	230770000	92544000	46354000	47398000	194050000	178250000	161450000	109920000	"ribosomal protein L13 [Source:MGI Symbol;Acc:MGI:105922];ribosomal protein L13, pseudogene 3 [Source:MGI Symbol;Acc:MGI:3646682]"	Rpl13;Rpl13-ps3	Rpl13	-0.140809638	-0.188150877	-0.401653853	-0.33978328	-0.114456872	0.54399072	0.69055119	-0.072604121	-0.747196832
95	ENSMUSP00000000759	ENSMUSP00000000759	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.5274	14.805	2.0053	34.439	0	0	0	0	0	0	0	0	29079000	21611000	0	0	0	0	100180000	105620000	88408000	95083000	charged multivesicular body protein 1A [Source:MGI Symbol;Acc:MGI:1920159]	Chmp1a	Chmp1a	NA	NA	NA	NA	NA	NA	NA	0.611077929	1.003818085
96	ENSMUSP00000090585;ENSMUSP00000000767	ENSMUSP00000090585;ENSMUSP00000000767	0.33031	15.844	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	55317000	18074000	0	0	0	0	0	0	15540000	34334000	34892000	18433000	0	0	33963000	1777800	0	0	replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525];replication protein A1 [Source:MGI Symbol;Acc:MGI:1915525]	Rpa1;Rpa1	Rpa1	-1.598107448	NA	NA	NA	NA	NA	NA	NA	NA
97	ENSMUSP00000000769;ENSMUSP00000114761;ENSMUSP00000133230;ENSMUSP00000121180;ENSMUSP00000126807;CON__Q95121	ENSMUSP00000000769	0.9613	24.628	2.9947	102.62	1.6621	12.493	1.152	11.821	1.1344	14.902	1.0823	12.532	198.92	33.357	271.81	19.759	392.85	7635500000	8401100000	4995400000	1.28E+10	1.01E+10	1.22E+10	2340200000	2951600000	2541900000	4385400000	4884200000	4580800000	3125600000	5145200000	5214800000	5238500000	4849400000	5.11E+09	"serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080];serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080];serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080];serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080];serine (or cysteine) peptidase inhibitor, clade F, member 1 [Source:MGI Symbol;Acc:MGI:108080]"	Serpinf1;Serpinf1;Serpinf1;Serpinf1;Serpinf1	Serpinf1	-0.056941361	1.582411485	0.733007184	0.204140717	0.181929438	0.114100452	3.64754477	5.059917639	4.304438029
98	ENSMUSP00000000804;ENSMUSP00000035261	ENSMUSP00000000804;ENSMUSP00000035261	NA	NA	0.74387	45.884	NA	NA	NA	NA	NA	NA	0.97729	NA	NA	1.3443	18.139	1.3451	4.8547	0	0	40662000	47476000	42673000	41180000	0	0	3374900	4966100	43239000	23023000	27628000	28335000	95233000	128700000	22243000	30071000	"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 3, X-linked [Source:MGI Symbol;Acc:MGI:103064];DNA segment, Chr 1, Pasteur Institute 1 [Source:MGI Symbol;Acc:MGI:91842]"	Ddx3x;D1Pas1	Ddx3x	NA	-0.426877579	NA	NA	NA	-0.033141365	NA	0.426855132	0.427713432
